0,5,10
1,4,9
2,1,15
3,3,14
4,4,15
5,2,13
6,3,16
7,3,12
8,0,18
9,4,15
10,1,12
11,2,8
12,4,8
13,4,9
14,2,10
15,2,9
16,3,12
17,2,9
18,4,11
19,2,14
20,4,11
21,2,15
22,2,12
23,0,9
24,5,11
25,1,12
26,3,10
27,3,12
28,3,10
29,4,8
30,2,7
31,5,17
32,2,11
33,4,11
34,2,15
35,0,11
36,5,15
37,3,10
38,4,12
39,1,12
40,4,11
41,4,15
42,1,13
43,3,10
44,2,17
45,2,15
46,3,8
47,3,12
48,5,16
49,2,4
50,4,5
51,3,8
52,4,13
53,1,14
54,5,13
55,5,10
56,3,12
57,4,10
58,4,13
59,2,9
60,3,16
61,1,15
62,4,14
63,2,11
64,3,15
65,3,13
66,5,21
67,2,13
68,4,5
69,3,11
70,1,11
71,4,11
72,5,10
73,1,16
74,0,17
75,2,8
76,4,12
77,2,10
78,4,13
79,4,16
80,3,15
81,5,12
82,3,20
83,5,10
84,3,9
85,2,10
86,1,12
87,1,13
88,2,18
89,1,10
90,3,12
91,0,5
92,4,15
93,1,18
94,1,7
95,3,6
96,2,15
97,4,12
98,3,12
99,5,9
100,1,11
101,1,11
102,3,9
103,4,7
104,5,10
105,1,10
106,3,12
107,5,15
108,5,11
109,2,15
110,1,13
111,1,8
112,0,14
113,1,6
114,2,15
115,4,20
116,2,15
117,3,15
118,1,16
119,1,10
120,1,11
121,4,8
122,2,6
123,2,11
124,2,17
125,1,7
126,2,9
127,4,5
128,1,10
129,2,10
130,5,13
131,2,13
132,3,8
133,1,8
134,2,14
135,1,16
136,3,23
137,2,13
138,5,10
139,2,14
140,1,11
141,3,15
142,3,17
143,1,9
144,1,8
145,4,10
146,5,10
147,0,15
148,3,12
149,3,7
150,1,9
151,3,15
152,1,10
153,4,18
154,1,13
155,2,16
156,5,15
157,4,13
158,4,8
159,3,13
160,2,4
161,3,9
162,3,8
163,3,10
164,5,14
165,5,8
166,3,11
167,4,13
168,1,11
169,0,11
170,1,14
171,1,6
172,3,13
173,4,10
174,3,16
175,2,17
176,2,13
177,1,16
178,4,9
179,2,9
180,2,14
