Repeatability,Strategy,NumQueries,numCache,numSeeds,ResponseTime,numMessages
Poisson,Master/slave,1000,6,25,19.34,6
Poisson,Voting,1000,6,25,14.60,18
Poisson,Multi-agent,1000,6,25,14.83,12
Poisson,Negotiation,1000,6,25,20.74,22
Poisson,feedback,1000,6,25,19.47,14
Poisson,Master/slave,1000,6,50,19.50,6
Poisson,Voting,1000,6,50,14.28,18
Poisson,Multi-agent,1000,6,50,15.11,12
Poisson,Negotiation,1000,6,50,22.54,26
Poisson,feedback,1000,6,50,20.72,21
Poisson,Master/slave,1000,6,75,19.55,6
Poisson,Voting,1000,6,75,14.39,18
Poisson,Multi-agent,1000,6,75,15.21,12
Poisson,Negotiation,1000,6,75,24.01,35
Poisson,feedback,1000,6,75,21.93,29
Poisson,Master/slave,1000,6,100,19.37,6
Poisson,Voting,1000,6,100,14.62,18
Poisson,Multi-agent,1000,6,100,16.33,12
Poisson,Negotiation,1000,6,100,28.08,32
Poisson,feedback,1000,6,100,26.14,25
Poisson,Master/slave,1000,6,150,19.22,6
Poisson,Voting,1000,6,150,14.76,18
Poisson,Multi-agent,1000,6,150,17.17,12
Poisson,Negotiation,1000,6,150,30.03,40
Poisson,feedback,1000,6,150,27.96,33
Poisson,Master/slave,1000,12,25,37.62,12
Poisson,Voting,1000,12,25,21.35,36
Poisson,Multi-agent,1000,12,25,25.03,24
Poisson,Negotiation,1000,12,25,32.01,40
Poisson,feedback,1000,12,25,30.47,19
Poisson,Master/slave,1000,12,50,36.41,12
Poisson,Voting,1000,12,50,21.88,36
Poisson,Multi-agent,1000,12,50,28.23,24
Poisson,Negotiation,1000,12,50,41.62,42
Poisson,feedback,1000,12,50,36.25,24
Poisson,Master/slave,1000,12,75,35.37,12
Poisson,Voting,1000,12,75,21.22,36
Poisson,Multi-agent,1000,12,75,32.48,24
Poisson,Negotiation,1000,12,75,50.09,48
Poisson,feedback,1000,12,75,47.75,29
Poisson,Master/slave,1000,12,100,34.96,12
Poisson,Voting,1000,12,100,22.23,36
Poisson,Multi-agent,1000,12,100,33.04,24
Poisson,Negotiation,1000,12,100,62.07,44
Poisson,feedback,1000,12,100,59.25,25
Poisson,Master/slave,1000,12,150,35.54,12
Poisson,Voting,1000,12,150,22.13,36
Poisson,Multi-agent,1000,12,150,36.46,24
Poisson,Negotiation,1000,12,150,70.11,45
Poisson,feedback,1000,12,150,66.66,31
Poisson,Master/slave,1000,15,25,45.20,15
Poisson,Voting,1000,15,25,23.02,45
Poisson,Multi-agent,1000,15,25,31.26,30
Poisson,Negotiation,1000,15,25,37.59,45
Poisson,feedback,1000,15,25,35.74,18
Poisson,Master/slave,1000,15,50,40.92,15
